Viteza 1,Data,0
1.01,12:00:00 AM,1
1.01,12:00:10 AM,2
1.01,12:00:20 AM,3
1.01,12:00:30 AM,4
1.01,12:00:40 AM,5
1.01,12:00:50 AM,6
1.01,12:01:00 AM,7
1.03,12:01:10 AM,8
1.05,12:01:20 AM,9
1.07,12:01:30 AM,10
1.09,12:01:40 AM,11
1.11,12:01:50 AM,12
1.13,12:02:00 AM,13
1.15,12:02:10 AM,14
1.17,12:02:20 AM,15
1.19,12:02:30 AM,16
1.21,12:02:40 AM,17
1.23,12:02:50 AM,18
1.25,12:03:00 AM,19
1.27,12:03:10 AM,20
1.29,12:03:20 AM,21
1.31,12:03:30 AM,22
1.33,12:03:40 AM,23
1.35,12:03:50 AM,24
1.37,12:04:00 AM,25
1.3900000000000001,12:04:10 AM,26
1.41,12:04:20 AM,27
1.43,12:04:30 AM,28
1.45,12:04:40 AM,29
1.47,12:04:50 AM,30
1.49,12:05:00 AM,31
1.51,12:05:10 AM,32
1.53,12:05:20 AM,33
1.55,12:05:30 AM,34
1.5699999999999998,12:05:40 AM,35
1.5899999999999999,12:05:50 AM,36
1.5899999999999999,12:06:00 AM,37
1.5899999999999999,12:06:10 AM,38
1.6099999999999999,12:06:20 AM,39
1.5899999999999999,12:06:30 AM,40
1.5899999999999999,12:06:40 AM,41
1.6099999999999999,12:06:50 AM,42
1.5899999999999999,12:07:00 AM,43
1.5899999999999999,12:07:10 AM,44
1.6099999999999999,12:07:20 AM,45
1.5899999999999999,12:07:30 AM,46
1.5899999999999999,12:07:40 AM,47
1.6099999999999999,12:07:50 AM,48
1.63,12:08:00 AM,49
1.5899999999999999,12:08:10 AM,50
1.5899999999999999,12:08:20 AM,51
1.6099999999999999,12:08:30 AM,52
1.5899999999999999,12:08:40 AM,53
1.5899999999999999,12:08:50 AM,54
1.6099999999999999,12:09:00 AM,55
1.5899999999999999,12:09:10 AM,56
1.5899999999999999,12:09:20 AM,57
1.6099999999999999,12:09:30 AM,58
1.5899999999999999,12:09:40 AM,59
1.6099999999999999,12:09:50 AM,60
1.5899999999999999,12:10:00 AM,61
1.5899999999999999,12:10:10 AM,62
1.6099999999999999,12:10:20 AM,63
1.5899999999999999,12:10:30 AM,64
1.5899999999999999,12:10:40 AM,65
1.6099999999999999,12:10:50 AM,66
1.5899999999999999,12:11:00 AM,67
1.56,12:11:10 AM,68
1.53,12:11:20 AM,69
1.5,12:11:30 AM,70
1.47,12:11:40 AM,71
1.44,12:11:50 AM,72
1.41,12:12:00 AM,73
1.38,12:12:10 AM,74
1.35,12:12:20 AM,75
1.32,12:12:30 AM,76
1.29,12:12:40 AM,77
1.26,12:12:50 AM,78
1.23,12:13:00 AM,79
1.2,12:13:10 AM,80
1.17,12:13:20 AM,81
1.1400000000000001,12:13:30 AM,82
1.11,12:13:40 AM,83
1.08,12:13:50 AM,84
1.05,12:14:00 AM,85
1.0,12:14:10 AM,86
1.0,12:14:20 AM,87
1.0,12:14:30 AM,88
1.0,12:14:40 AM,89
1.0,12:14:50 AM,90
1.0,12:15:00 AM,91
1.0,12:15:10 AM,92
1.0,12:15:20 AM,93
1.0,12:15:30 AM,94
1.0,12:15:40 AM,95
1.0,12:15:50 AM,96
1.0,12:16:00 AM,97
1.0,12:16:10 AM,98
1.0,12:16:20 AM,99
1.0,12:16:30 AM,100
